comuna_name,locode,main_biome,all_biomes
Lolol,CL LOL,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Loncoche,CL LNC,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Longaví,CL LON,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Lonquimay,CL LQY,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Los Alamos,CL LAL,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Los Andes,CL LIB,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands']"
Los Angeles,CL LSQ,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Los Lagos,CL LLG,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Los Muermos,CL LMU,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Los Sauces,CL LSA,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Los Vilos,CL LOS,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Lota,CL LTA,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Lumaco,CL LUM,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Machalí,CL MCI,Montane Grasslands & Shrublands,"['Montane Grasslands & Shrublands', 'Temperate Broadleaf & Mixed Forests']"
Macul,CL MAC,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Maipú,CL MAI,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
