Entidad,Nombre variable,Descripción de la variable,Valor,Etiqueta de categoría,Rango,Universo,Conteo,
Hogar,p15c_serv_tablet,"15. Este hogar, ¿dispone de tablet? ",NA,No aplica,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"26,070",
Hogar,p15d_serv_internet_fija,"15. Este hogar, ¿dispone de internet fija? ",1,Sí,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"4,250,122",
Hogar,p15d_serv_internet_fija,"15. Este hogar, ¿dispone de internet fija? ",2,No,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"2,338,834",
Hogar,p15d_serv_internet_fija,"15. Este hogar, ¿dispone de internet fija? ",-99,No respuesta,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"7,571",
Hogar,p15d_serv_internet_fija,"15. Este hogar, ¿dispone de internet fija? ",NA,No aplica,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"26,070",
Hogar,p15e_serv_internet_movil,"15. Este hogar, ¿dispone de internet móvil desde un celular, tablet o BAM? ",1,Sí,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"5,734,118",
Hogar,p15e_serv_internet_movil,"15. Este hogar, ¿dispone de internet móvil desde un celular, tablet o BAM? ",2,No,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"854,837",
Hogar,p15e_serv_internet_movil,"15. Este hogar, ¿dispone de internet móvil desde un celular, tablet o BAM? ",-99,No respuesta,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"7,572",
Hogar,p15e_serv_internet_movil,"15. Este hogar, ¿dispone de internet móvil desde un celular, tablet o BAM? ",NA,No aplica,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"26,070",
Hogar,p15f_serv_internet_satelital,"15. Este hogar, ¿dispone de internet por conexión satelital? ",1,Sí,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"288,473",
Hogar,p15f_serv_internet_satelital,"15. Este hogar, ¿dispone de internet por conexión satelital? ",2,No,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"6,293,135",
Hogar,p15f_serv_internet_satelital,"15. Este hogar, ¿dispone de internet por conexión satelital? ",-99,No respuesta,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"14,919",
Hogar,p15f_serv_internet_satelital,"15. Este hogar, ¿dispone de internet por conexión satelital? ",NA,No aplica,"1:2; 
-99 (no respuesta); NA (no aplica)",Todos los hogares,"26,070",
Hogar,tipologia_hogar,Tipología de hogar,1,Unipersonal,1:7; NA (no aplica),Todos los hogares,"1,437,648",
Hogar,tipologia_hogar,Tipología de hogar,2,Nuclear monoparental,1:7; NA (no aplica),Todos los hogares,"985,912",
Hogar,tipologia_hogar,Tipología de hogar,3,Nuclear pareja sin hijos,1:7; NA (no aplica),Todos los hogares,"940,030",
Hogar,tipologia_hogar,Tipología de hogar,4,Nuclear pareja con hijos,1:7; NA (no aplica),Todos los hogares,"1,796,839",
Hogar,tipologia_hogar,Tipología de hogar,5,Extenso,1:7; NA (no aplica),Todos los hogares,"945,125",
Hogar,tipologia_hogar,Tipología de hogar,6,Compuesto,1:7; NA (no aplica),Todos los hogares,"112,706",
Hogar,tipologia_hogar,Tipología de hogar,7,Sin núcleo,1:7; NA (no aplica),Todos los hogares,"378,267",
Hogar,tipologia_hogar,Tipología de hogar,NA,No aplica,1:7; NA (no aplica),Todos los hogares,"26,070",
Hogar,comuna_bajo_umbral,Comuna con menos de 6.000 personas censadas,1,Sí,1:2,Todos los registros,"60,761",
Hogar,comuna_bajo_umbral,Comuna con menos de 6.000 personas censadas,2,No,1:2,Todos los registros,"6,561,836",
